state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
KERALA,695582,22%,56%,16%,6%,23%,57%,9%,11%,1%,1%,-7%,5%
MADHYA PRADESH,486001,13%,76%,9%,1%,14%,74%,11%,1%,1%,-2%,2%,-1%
TELANGANA,500026,23%,65%,13%,0%,23%,66%,10%,0%,1%,1%,-2%,0%
HARYANA,123029,15%,2%,17%,66%,16%,2%,15%,67%,1%,0%,-2%,1%
GUJARAT,360380,22%,50%,11%,17%,23%,31%,23%,23%,1%,-19%,12%,6%
GUJARAT,383030,22%,39%,6%,33%,23%,54%,8%,15%,1%,15%,2%,-18%
KARNATAKA,560025,21%,61%,2%,16%,21%,59%,4%,16%,1%,-3%,2%,0%
KERALA,678019,7%,45%,29%,18%,8%,48%,26%,18%,1%,3%,-3%,-1%
KERALA,673637,6%,48%,44%,2%,7%,55%,34%,4%,1%,7%,-10%,2%
TAMIL NADU,642001,19%,79%,1%,1%,20%,77%,3%,0%,1%,-2%,2%,0%
WEST BENGAL,742140,1%,86%,0%,13%,2%,95%,0%,3%,1%,10%,0%,-10%
HARYANA,127201,9%,3%,24%,64%,10%,2%,18%,70%,1%,-1%,-6%,6%
MAHARASHTRA,422003,9%,56%,22%,13%,9%,51%,23%,17%,1%,-5%,1%,3%
TAMIL NADU,631552,18%,58%,9%,15%,19%,62%,8%,11%,1%,4%,-1%,-4%
UTTAR PRADESH,224204,5%,83%,5%,8%,6%,83%,4%,7%,1%,1%,-1%,-1%
KERALA,673505,13%,28%,32%,28%,14%,34%,34%,18%,1%,6%,2%,-9%
MAHARASHTRA,421506,18%,54%,18%,11%,19%,59%,12%,10%,1%,5%,-6%,0%
WEST BENGAL,742227,2%,90%,0%,7%,3%,94%,0%,3%,1%,3%,0%,-4%
GUJARAT,360579,16%,50%,5%,29%,17%,40%,12%,31%,1%,-10%,7%,2%
KERALA,678102,8%,67%,19%,6%,9%,69%,17%,6%,1%,1%,-2%,0%
KERALA,673012,9%,17%,27%,47%,10%,32%,30%,28%,1%,15%,2%,-18%
KERALA,676562,12%,22%,31%,36%,13%,17%,43%,28%,1%,-5%,12%,-8%
KERALA,689585,11%,72%,11%,6%,12%,52%,32%,4%,1%,-20%,21%,-2%
KERALA,695004,9%,57%,26%,7%,10%,58%,28%,3%,1%,1%,2%,-4%
KERALA,679122,17%,33%,21%,29%,18%,38%,29%,16%,1%,5%,8%,-13%
UTTARAKHAND,263149,6%,38%,19%,38%,7%,71%,14%,7%,1%,34%,-4%,-30%
BIHAR,841227,45%,38%,16%,2%,46%,39%,13%,3%,1%,1%,-3%,1%
UTTAR PRADESH,221206,7%,86%,1%,6%,8%,77%,9%,6%,1%,-9%,8%,0%
BIHAR,854105,38%,50%,3%,9%,39%,56%,4%,1%,1%,7%,0%,-8%
WEST BENGAL,743134,2%,97%,0%,1%,3%,83%,1%,13%,1%,-14%,1%,12%
BIHAR,821305,18%,79%,2%,1%,19%,78%,2%,0%,1%,-1%,0%,-1%
GUJARAT,382305,12%,70%,12%,5%,13%,75%,7%,5%,1%,5%,-5%,-1%
MAHARASHTRA,423303,2%,88%,7%,3%,3%,90%,5%,3%,1%,1%,-2%,-1%
KARNATAKA,584115,53%,30%,14%,4%,53%,30%,15%,1%,1%,0%,1%,-2%
KERALA,682311,11%,62%,16%,11%,12%,52%,22%,14%,1%,-10%,6%,3%
RAJASTHAN,303303,68%,1%,18%,13%,69%,1%,19%,11%,1%,-1%,2%,-2%
KERALA,686691,5%,48%,34%,14%,6%,60%,19%,15%,1%,12%,-14%,1%
UTTAR PRADESH,228001,7%,80%,6%,7%,8%,81%,5%,6%,1%,1%,0%,-1%
GUJARAT,390023,12%,49%,10%,29%,13%,18%,26%,42%,1%,-31%,16%,14%
MADHYA PRADESH,482011,32%,52%,14%,1%,33%,61%,5%,1%,1%,8%,-9%,0%
MAHARASHTRA,400012,13%,63%,4%,21%,14%,63%,3%,21%,1%,0%,-1%,0%
ASSAM,781032,9%,63%,4%,24%,10%,71%,5%,15%,1%,7%,1%,-9%
KERALA,670101,7%,55%,27%,11%,8%,64%,23%,5%,1%,9%,-4%,-6%
GUJARAT,382775,15%,38%,26%,21%,16%,31%,28%,25%,1%,-7%,2%,4%
KERALA,691311,7%,22%,29%,41%,8%,58%,21%,13%,1%,36%,-8%,-28%
UTTAR PRADESH,207403,7%,63%,15%,15%,8%,69%,17%,6%,1%,6%,2%,-9%
KARNATAKA,571404,35%,58%,1%,6%,36%,54%,4%,7%,1%,-4%,2%,1%
ASSAM,781007,13%,52%,4%,31%,14%,44%,4%,38%,1%,-9%,1%,7%
UTTAR PRADESH,272155,1%,24%,2%,74%,2%,23%,2%,73%,1%,0%,0%,-1%
MAHARASHTRA,411029,14%,44%,20%,22%,15%,41%,21%,23%,1%,-4%,2%,1%
KERALA,673524,1%,27%,60%,13%,2%,57%,18%,23%,1%,31%,-41%,10%
ANDHRA PRADESH,522509,29%,52%,18%,1%,30%,60%,9%,1%,1%,8%,-8%,0%
GUJARAT,387001,11%,76%,7%,6%,12%,72%,6%,10%,1%,-4%,-1%,5%
MADHYA PRADESH,477117,4%,89%,6%,1%,5%,86%,8%,1%,1%,-3%,2%,0%
MAHARASHTRA,400034,18%,60%,1%,21%,19%,67%,1%,13%,1%,7%,0%,-8%
KARNATAKA,583115,26%,64%,5%,6%,27%,64%,5%,5%,1%,0%,0%,-1%
UTTAR PRADESH,222001,1%,95%,1%,3%,2%,93%,1%,4%,1%,-2%,0%,1%
KERALA,695615,2%,55%,40%,3%,3%,75%,11%,12%,1%,20%,-29%,8%
TAMIL NADU,621108,11%,78%,9%,2%,12%,83%,3%,2%,1%,5%,-6%,0%
DELHI,110035,11%,8%,1%,80%,12%,12%,2%,75%,1%,4%,1%,-6%
BIHAR,805111,17%,81%,1%,0%,18%,79%,2%,1%,1%,-2%,1%,0%
UTTAR PRADESH,205264,26%,51%,14%,9%,27%,49%,18%,6%,1%,-2%,4%,-2%
KERALA,673310,5%,15%,50%,30%,6%,17%,48%,30%,1%,2%,-2%,-1%
UTTAR PRADESH,224122,2%,95%,1%,3%,3%,75%,1%,21%,1%,-20%,1%,18%
UTTARAKHAND,249404,44%,42%,11%,3%,45%,44%,7%,3%,1%,2%,-3%,0%
UTTAR PRADESH,208019,1%,88%,5%,5%,2%,86%,5%,6%,1%,-2%,0%,1%
MAHARASHTRA,400057,17%,49%,1%,33%,18%,47%,0%,35%,1%,-3%,-1%,3%
TAMIL NADU,632517,17%,75%,3%,6%,18%,61%,4%,18%,1%,-14%,1%,12%
MAHARASHTRA,413511,15%,38%,43%,4%,16%,30%,52%,1%,1%,-8%,9%,-2%
GUJARAT,387530,26%,26%,11%,37%,27%,27%,27%,18%,1%,1%,17%,-19%
KERALA,688012,11%,67%,13%,9%,12%,53%,19%,16%,1%,-13%,6%,6%
TAMIL NADU,638004,24%,67%,8%,1%,25%,74%,1%,0%,1%,7%,-7%,-1%
MADHYA PRADESH,457001,11%,77%,10%,1%,12%,75%,12%,1%,1%,-3%,1%,0%
BIHAR,855107,22%,77%,1%,0%,23%,76%,0%,1%,1%,-1%,-1%,1%
GUJARAT,385320,11%,40%,22%,27%,12%,35%,22%,31%,1%,-5%,0%,4%
TELANGANA,500003,25%,65%,10%,0%,26%,62%,11%,0%,1%,-2%,1%,0%
GUJARAT,361001,7%,50%,21%,21%,8%,45%,16%,31%,1%,-5%,-5%,9%
UTTAR PRADESH,207123,9%,77%,6%,9%,10%,73%,7%,10%,1%,-3%,1%,1%
UTTAR PRADESH,222161,3%,67%,14%,16%,4%,73%,10%,14%,1%,5%,-4%,-2%
MAHARASHTRA,400074,16%,69%,3%,13%,17%,71%,2%,10%,1%,3%,-1%,-3%
KERALA,670601,12%,17%,30%,41%,13%,13%,65%,10%,1%,-4%,34%,-31%
KERALA,673507,2%,53%,20%,26%,3%,55%,18%,25%,1%,2%,-2%,-1%
KERALA,686560,1%,75%,7%,17%,2%,90%,7%,1%,1%,15%,0%,-16%
MAHARASHTRA,411028,12%,40%,38%,10%,13%,37%,34%,17%,1%,-3%,-4%,7%
WEST BENGAL,711101,13%,71%,1%,15%,14%,61%,1%,24%,1%,-9%,0%,8%
MAHARASHTRA,425405,4%,91%,3%,2%,5%,90%,3%,3%,1%,0%,-1%,0%
TAMIL NADU,641045,26%,60%,4%,10%,27%,63%,3%,7%,1%,3%,-1%,-3%
KERALA,673579,1%,11%,82%,6%,2%,25%,72%,2%,1%,14%,-11%,-5%
KARNATAKA,562114,39%,55%,4%,2%,40%,56%,3%,1%,1%,0%,-1%,-1%
UTTAR PRADESH,221712,2%,71%,17%,10%,3%,82%,11%,4%,1%,11%,-6%,-6%
KERALA,685553,1%,24%,48%,27%,2%,25%,46%,27%,1%,1%,-3%,0%
UTTAR PRADESH,211019,1%,81%,9%,9%,2%,81%,6%,11%,1%,0%,-3%,2%
KERALA,679534,2%,9%,82%,7%,3%,15%,64%,18%,1%,6%,-18%,11%
MAHARASHTRA,444401,4%,79%,11%,6%,5%,63%,16%,16%,1%,-16%,5%,9%
KARNATAKA,574241,54%,40%,5%,1%,55%,32%,9%,4%,1%,-8%,4%,3%
MAHARASHTRA,400029,12%,64%,6%,18%,13%,51%,6%,30%,1%,-13%,0%,12%
KERALA,670661,9%,26%,51%,15%,10%,30%,33%,28%,1%,5%,-19%,13%
KERALA,670671,10%,66%,17%,7%,11%,34%,34%,20%,1%,-31%,17%,14%
MADHYA PRADESH,480667,6%,56%,36%,2%,7%,80%,11%,2%,1%,24%,-25%,0%
GUJARAT,390011,17%,27%,2%,54%,18%,28%,2%,52%,1%,1%,-1%,-2%
MADHYA PRADESH,470002,6%,79%,15%,0%,7%,77%,15%,1%,1%,-2%,1%,0%
ANDHRA PRADESH,530008,45%,47%,8%,0%,46%,49%,5%,0%,1%,2%,-3%,0%
KERALA,680547,3%,32%,51%,14%,4%,53%,14%,29%,1%,20%,-37%,15%
DELHI,110049,38%,30%,2%,29%,39%,32%,4%,25%,1%,2%,2%,-4%
KERALA,691326,3%,87%,6%,3%,4%,70%,23%,2%,1%,-17%,17%,-1%
UTTAR PRADESH,284128,1%,87%,6%,6%,2%,83%,9%,6%,1%,-4%,3%,0%
UTTAR PRADESH,250205,28%,50%,16%,6%,29%,60%,10%,2%,1%,10%,-6%,-4%
KERALA,686518,1%,21%,70%,8%,2%,11%,75%,12%,1%,-10%,5%,4%
KARNATAKA,580008,31%,59%,2%,8%,32%,57%,4%,7%,1%,-2%,2%,-1%
TAMIL NADU,626143,4%,86%,9%,1%,5%,83%,11%,1%,1%,-3%,2%,0%
KERALA,680101,7%,53%,32%,8%,8%,60%,23%,9%,1%,7%,-9%,1%
MAHARASHTRA,400021,12%,68%,1%,19%,13%,81%,1%,5%,1%,13%,0%,-14%
MAHARASHTRA,440022,14%,47%,25%,14%,15%,44%,24%,17%,1%,-3%,-1%,3%
KARNATAKA,581350,18%,64%,10%,8%,19%,66%,4%,11%,1%,2%,-6%,4%
GUJARAT,389001,7%,66%,6%,22%,8%,65%,4%,23%,1%,-1%,-2%,1%
MAHARASHTRA,400606,28%,63%,1%,9%,29%,59%,1%,11%,1%,-4%,1%,2%
MAHARASHTRA,400052,11%,51%,4%,33%,13%,50%,6%,32%,1%,-1%,2%,-2%
PUNJAB,141101,65%,3%,27%,5%,66%,5%,27%,2%,1%,2%,0%,-3%
KERALA,686572,1%,38%,52%,9%,3%,38%,56%,4%,1%,0%,4%,-5%
TAMIL NADU,632004,23%,67%,2%,7%,24%,61%,4%,11%,1%,-6%,2%,3%
MAHARASHTRA,423102,3%,10%,76%,10%,4%,26%,64%,6%,1%,15%,-12%,-4%
MAHARASHTRA,411048,24%,32%,29%,15%,25%,36%,27%,12%,1%,4%,-2%,-3%
TAMIL NADU,626130,12%,46%,1%,40%,13%,43%,4%,40%,1%,-4%,3%,0%
GUJARAT,382475,17%,33%,16%,34%,18%,31%,23%,29%,1%,-3%,7%,-5%
BIHAR,851112,27%,43%,30%,1%,28%,54%,17%,1%,1%,12%,-13%,0%
MAHARASHTRA,400020,14%,68%,2%,16%,15%,77%,1%,7%,1%,9%,-1%,-10%
UTTAR PRADESH,246763,10%,74%,12%,3%,11%,75%,11%,2%,1%,1%,-1%,-1%
MAHARASHTRA,411017,14%,40%,29%,17%,15%,41%,27%,17%,1%,0%,-1%,0%
UTTAR PRADESH,212303,3%,86%,5%,6%,4%,89%,4%,2%,1%,4%,-1%,-4%
MADHYA PRADESH,474001,9%,76%,14%,0%,10%,77%,12%,1%,1%,1%,-2%,0%
CHHATTISGARH,492015,13%,78%,9%,0%,14%,78%,8%,0%,1%,0%,-1%,0%
HARYANA,131039,40%,4%,15%,41%,41%,2%,14%,44%,1%,-3%,-1%,3%
MAHARASHTRA,400064,16%,60%,3%,21%,17%,59%,3%,21%,1%,-1%,0%,0%
ANDHRA PRADESH,530028,24%,67%,7%,1%,26%,69%,5%,0%,1%,2%,-2%,-1%
MAHARASHTRA,431505,1%,68%,17%,14%,3%,90%,7%,1%,1%,22%,-10%,-13%
GUJARAT,384170,26%,56%,9%,9%,27%,59%,7%,7%,1%,3%,-2%,-2%
WEST BENGAL,721301,19%,69%,4%,8%,20%,70%,3%,7%,1%,0%,-1%,-1%
MAHARASHTRA,402108,2%,84%,5%,9%,3%,80%,6%,11%,1%,-4%,1%,2%
WEST BENGAL,712614,2%,72%,4%,21%,3%,74%,3%,19%,1%,2%,-1%,-2%
MAHARASHTRA,422306,12%,77%,11%,1%,13%,71%,10%,6%,1%,-5%,-1%,5%
GUJARAT,370002,5%,25%,18%,52%,7%,36%,18%,39%,1%,11%,1%,-13%
KERALA,673631,8%,25%,57%,11%,9%,21%,63%,7%,1%,-4%,6%,-3%
HARYANA,127306,22%,8%,27%,44%,23%,4%,14%,59%,1%,-4%,-13%,16%
KERALA,683577,1%,25%,54%,21%,2%,22%,32%,44%,1%,-3%,-22%,23%
ANDHRA PRADESH,515133,25%,63%,11%,0%,27%,50%,16%,7%,1%,-13%,5%,7%
ANDHRA PRADESH,533008,20%,64%,14%,2%,21%,64%,14%,1%,1%,0%,-1%,0%
TAMIL NADU,629001,24%,71%,2%,3%,25%,70%,3%,1%,1%,-1%,2%,-2%
GOA,403204,10%,60%,20%,10%,11%,56%,11%,22%,1%,-4%,-9%,12%
WEST BENGAL,742301,16%,58%,4%,22%,17%,52%,7%,24%,1%,-5%,3%,2%
TAMIL NADU,624620,4%,67%,17%,12%,6%,72%,12%,10%,1%,6%,-4%,-2%
MAHARASHTRA,413529,6%,56%,28%,11%,7%,47%,40%,7%,1%,-9%,12%,-4%
MAHARASHTRA,421311,26%,66%,2%,6%,27%,61%,2%,10%,1%,-5%,0%,4%
KERALA,679579,5%,25%,45%,25%,6%,17%,55%,22%,1%,-8%,10%,-3%
KERALA,678532,5%,71%,10%,14%,6%,59%,29%,6%,1%,-13%,20%,-8%
MAHARASHTRA,415709,16%,59%,19%,6%,17%,56%,21%,6%,1%,-3%,2%,-1%
MAHARASHTRA,422011,5%,64%,21%,10%,6%,56%,23%,15%,1%,-8%,2%,4%
WEST BENGAL,741101,5%,81%,2%,12%,7%,80%,1%,12%,1%,-1%,-1%,0%
KERALA,673620,3%,21%,49%,27%,4%,28%,47%,21%,1%,7%,-2%,-6%
GUJARAT,388325,8%,47%,15%,30%,9%,65%,11%,14%,1%,19%,-4%,-16%
GUJARAT,361305,7%,68%,16%,10%,8%,57%,25%,10%,1%,-11%,9%,1%
WEST BENGAL,700035,8%,72%,2%,18%,9%,70%,1%,19%,1%,-1%,-1%,1%
KERALA,688528,5%,74%,8%,14%,6%,67%,16%,12%,1%,-7%,8%,-2%
TAMIL NADU,600081,19%,70%,7%,5%,20%,68%,7%,5%,1%,-1%,0%,0%
KERALA,690102,3%,48%,40%,8%,5%,43%,38%,15%,1%,-5%,-3%,7%
UTTAR PRADESH,231312,2%,83%,6%,8%,3%,86%,6%,4%,1%,3%,0%,-4%
KERALA,679594,16%,27%,40%,18%,17%,15%,28%,40%,1%,-12%,-12%,22%
KARNATAKA,562121,42%,50%,4%,5%,43%,50%,4%,2%,1%,0%,1%,-2%
MAHARASHTRA,421301,18%,65%,6%,12%,19%,57%,10%,14%,1%,-7%,5%,2%
MAHARASHTRA,442406,3%,87%,8%,2%,4%,84%,10%,1%,1%,-3%,2%,0%
KERALA,670012,13%,52%,27%,8%,14%,52%,27%,8%,1%,0%,-1%,0%
TELANGANA,507301,9%,83%,6%,2%,10%,65%,16%,10%,1%,-18%,10%,7%
KARNATAKA,560099,38%,47%,5%,10%,39%,46%,4%,11%,1%,-1%,-1%,1%
KARNATAKA,635126,13%,84%,2%,1%,14%,80%,5%,1%,1%,-4%,3%,0%
MAHARASHTRA,400014,15%,52%,1%,32%,17%,54%,1%,28%,1%,2%,1%,-4%
UTTAR PRADESH,243203,4%,83%,6%,7%,5%,81%,8%,5%,1%,-2%,2%,-2%
UTTAR PRADESH,243002,10%,76%,9%,5%,11%,78%,6%,5%,1%,2%,-3%,0%
GUJARAT,389160,4%,75%,1%,20%,5%,89%,4%,2%,1%,14%,2%,-18%
DELHI,110043,10%,81%,4%,5%,11%,83%,4%,2%,1%,2%,0%,-3%
TAMIL NADU,600062,22%,71%,4%,3%,23%,62%,9%,6%,1%,-9%,5%,3%
MAHARASHTRA,400097,19%,56%,1%,24%,20%,55%,1%,24%,1%,-1%,0%,0%
ANDHRA PRADESH,521456,17%,71%,12%,1%,18%,66%,16%,0%,1%,-5%,4%,0%
KARNATAKA,560054,13%,72%,8%,7%,14%,75%,4%,7%,1%,3%,-3%,0%
TAMIL NADU,626125,35%,61%,3%,1%,36%,57%,6%,1%,1%,-4%,3%,0%
TAMIL NADU,614615,10%,89%,0%,0%,12%,80%,1%,7%,1%,-9%,1%,7%
WEST BENGAL,743144,8%,77%,4%,11%,9%,80%,4%,7%,1%,3%,0%,-4%
MAHARASHTRA,412206,4%,55%,22%,18%,5%,53%,32%,11%,1%,-2%,9%,-8%
MAHARASHTRA,422007,9%,47%,29%,16%,10%,44%,29%,16%,1%,-2%,1%,1%
MAHARASHTRA,441103,1%,79%,17%,3%,3%,81%,13%,3%,1%,3%,-4%,0%
TELANGANA,500035,21%,47%,32%,0%,23%,48%,30%,0%,1%,1%,-2%,0%
KERALA,686506,2%,59%,24%,15%,3%,84%,11%,1%,1%,26%,-13%,-14%
GUJARAT,391774,7%,36%,21%,36%,8%,67%,17%,8%,1%,31%,-5%,-27%
MAHARASHTRA,422203,7%,50%,14%,29%,8%,33%,8%,50%,1%,-17%,-6%,21%
ANDHRA PRADESH,631204,17%,67%,3%,14%,18%,75%,4%,4%,1%,8%,1%,-10%
MAHARASHTRA,413304,11%,83%,4%,2%,12%,76%,8%,3%,1%,-7%,4%,1%
DELHI,110034,22%,18%,1%,59%,23%,19%,2%,56%,1%,1%,1%,-3%
ANDHRA PRADESH,523001,17%,67%,15%,1%,18%,65%,16%,1%,1%,-2%,1%,0%
TELANGANA,509301,11%,72%,17%,0%,12%,71%,17%,0%,1%,-2%,1%,0%
KERALA,689105,0%,59%,35%,5%,2%,65%,27%,6%,1%,6%,-9%,1%
UTTARAKHAND,248002,20%,64%,8%,7%,22%,57%,12%,9%,1%,-7%,4%,2%
KERALA,679335,1%,36%,44%,20%,2%,34%,58%,6%,1%,-2%,14%,-14%
UTTAR PRADESH,244241,6%,88%,6%,0%,7%,82%,9%,2%,1%,-6%,3%,2%
TAMIL NADU,626205,25%,66%,3%,7%,26%,60%,3%,10%,1%,-5%,1%,3%
MAHARASHTRA,443202,2%,12%,82%,3%,4%,22%,72%,2%,1%,10%,-10%,-1%
KERALA,670673,3%,51%,32%,14%,4%,43%,32%,21%,1%,-8%,0%,7%
MAHARASHTRA,411002,20%,40%,25%,15%,21%,42%,12%,24%,1%,2%,-13%,9%
UTTAR PRADESH,282008,12%,67%,3%,18%,13%,60%,17%,10%,1%,-7%,14%,-8%
KERALA,686010,2%,22%,65%,11%,3%,27%,61%,8%,1%,5%,-4%,-3%
KERALA,682303,9%,67%,13%,11%,10%,53%,25%,12%,1%,-14%,11%,1%
KARNATAKA,581333,93%,6%,1%,1%,94%,5%,0%,0%,1%,-1%,0%,0%
KERALA,676103,8%,30%,32%,29%,9%,32%,30%,28%,1%,2%,-2%,-1%
KERALA,686674,4%,28%,59%,8%,6%,60%,33%,1%,1%,32%,-26%,-7%
WEST BENGAL,700031,23%,28%,1%,48%,24%,28%,0%,48%,1%,0%,-1%,-1%
TAMIL NADU,632513,9%,68%,3%,20%,10%,85%,2%,3%,1%,17%,-1%,-17%
KERALA,670592,26%,41%,31%,2%,27%,39%,33%,1%,1%,-2%,2%,-1%
MAHARASHTRA,421302,12%,58%,10%,20%,14%,56%,19%,12%,1%,-3%,9%,-7%
MAHARASHTRA,424001,5%,84%,9%,2%,6%,78%,15%,2%,1%,-7%,6%,0%
TELANGANA,500068,30%,48%,22%,0%,31%,50%,18%,1%,1%,3%,-5%,0%
GOA,403404,19%,37%,34%,10%,20%,47%,8%,25%,1%,10%,-26%,15%
TAMIL NADU,600107,19%,68%,3%,10%,21%,68%,3%,9%,1%,0%,0%,-1%
UTTAR PRADESH,247002,14%,66%,14%,7%,15%,69%,9%,6%,1%,4%,-4%,0%
UTTAR PRADESH,221101,2%,85%,3%,9%,4%,81%,8%,7%,1%,-3%,5%,-2%
WEST BENGAL,742223,7%,84%,5%,5%,8%,84%,3%,5%,1%,0%,-2%,1%
KERALA,690504,1%,27%,52%,21%,2%,55%,31%,13%,1%,28%,-21%,-8%
HIMACHAL PRADESH,176052,34%,62%,3%,1%,35%,57%,6%,1%,1%,-5%,4%,0%
HARYANA,110037,27%,62%,4%,7%,29%,60%,2%,9%,1%,-2%,-2%,2%
ANDHRA PRADESH,530044,21%,59%,19%,1%,22%,55%,22%,1%,1%,-4%,3%,0%
WEST BENGAL,700001,16%,63%,0%,21%,17%,66%,0%,17%,1%,3%,0%,-4%
MAHARASHTRA,411039,17%,38%,28%,16%,19%,41%,23%,17%,1%,3%,-4%,1%
UTTAR PRADESH,201307,30%,61%,2%,8%,31%,59%,4%,6%,1%,-2%,2%,-1%
TAMIL NADU,636013,8%,57%,34%,1%,9%,80%,10%,1%,1%,24%,-24%,0%
KARNATAKA,560046,7%,77%,3%,13%,9%,75%,3%,14%,1%,-2%,0%,1%
WEST BENGAL,712203,12%,72%,6%,10%,13%,77%,3%,6%,1%,5%,-3%,-4%
KARNATAKA,570009,20%,66%,9%,6%,21%,60%,10%,9%,1%,-6%,1%,3%
MAHARASHTRA,425201,7%,78%,8%,7%,9%,75%,13%,4%,1%,-3%,4%,-2%
WEST BENGAL,743194,2%,98%,0%,0%,3%,95%,0%,2%,1%,-3%,0%,2%
KERALA,680513,5%,30%,60%,5%,6%,31%,44%,19%,1%,1%,-16%,14%
MAHARASHTRA,416230,19%,13%,31%,38%,20%,20%,40%,20%,1%,8%,9%,-18%
UTTAR PRADESH,207502,1%,90%,3%,5%,2%,90%,5%,3%,1%,0%,1%,-2%
WEST BENGAL,742213,2%,88%,3%,6%,3%,88%,1%,7%,1%,0%,-2%,1%
PUNJAB,143026,75%,1%,13%,11%,76%,3%,7%,14%,1%,2%,-6%,3%
JAMMU AND KASHMIR,192101,18%,80%,1%,1%,19%,80%,1%,1%,1%,0%,0%,0%
UTTAR PRADESH,276124,2%,91%,4%,3%,3%,82%,3%,12%,1%,-9%,-2%,9%
TAMIL NADU,641603,28%,59%,4%,9%,29%,58%,3%,10%,1%,-1%,-1%,1%
UTTAR PRADESH,251203,8%,89%,3%,1%,9%,85%,5%,1%,1%,-3%,2%,0%
DELHI,110085,13%,76%,2%,9%,14%,79%,2%,4%,1%,3%,0%,-5%
KERALA,680589,5%,30%,49%,17%,6%,21%,49%,24%,1%,-8%,0%,7%
MAHARASHTRA,400051,15%,45%,5%,35%,16%,38%,4%,41%,1%,-7%,-1%,6%
UTTAR PRADESH,243001,17%,61%,19%,3%,18%,64%,14%,3%,1%,3%,-5%,1%
GUJARAT,384245,38%,38%,13%,11%,40%,35%,6%,19%,1%,-3%,-7%,8%
MAHARASHTRA,411021,15%,59%,14%,13%,16%,54%,14%,16%,1%,-5%,1%,3%
DAMAN AND DIU,362540,1%,73%,23%,3%,2%,57%,34%,7%,1%,-16%,11%,3%
TAMIL NADU,606604,22%,74%,1%,3%,23%,69%,4%,4%,1%,-5%,2%,1%
GUJARAT,360001,11%,43%,18%,27%,12%,39%,20%,28%,1%,-4%,2%,1%
ODISHA,751007,78%,0%,17%,5%,79%,3%,15%,2%,1%,2%,-1%,-2%
MAHARASHTRA,415205,27%,18%,18%,36%,29%,19%,19%,33%,1%,1%,1%,-3%
KERALA,670703,1%,15%,69%,15%,2%,15%,60%,23%,1%,0%,-10%,8%
MAHARASHTRA,400028,13%,49%,2%,35%,15%,52%,2%,32%,1%,3%,-1%,-4%
TAMIL NADU,603209,31%,45%,11%,12%,33%,51%,9%,7%,1%,5%,-2%,-5%
TELANGANA,500071,25%,60%,15%,0%,26%,58%,15%,0%,1%,-2%,0%,0%
KERALA,682031,9%,48%,26%,17%,10%,50%,13%,28%,1%,2%,-14%,10%
UTTAR PRADESH,274502,1%,64%,4%,31%,2%,62%,5%,31%,1%,-3%,1%,1%
WEST BENGAL,734101,15%,79%,0%,5%,16%,79%,0%,4%,1%,0%,0%,-1%
UTTAR PRADESH,274405,1%,75%,3%,22%,2%,73%,1%,24%,1%,-2%,-2%,2%
KERALA,673513,6%,40%,24%,29%,8%,41%,21%,31%,1%,1%,-4%,2%
UTTAR PRADESH,250110,17%,55%,17%,11%,18%,63%,11%,8%,1%,8%,-5%,-4%
KERALA,690537,0%,62%,34%,4%,2%,79%,18%,2%,1%,17%,-16%,-2%
TAMIL NADU,641023,30%,56%,7%,7%,31%,60%,5%,4%,1%,4%,-2%,-3%
TAMIL NADU,605106,25%,41%,20%,14%,27%,44%,18%,11%,1%,4%,-2%,-3%
GUJARAT,385566,9%,10%,15%,65%,10%,19%,19%,51%,1%,9%,4%,-14%
UTTAR PRADESH,208014,0%,82%,6%,11%,2%,89%,5%,4%,1%,6%,0%,-7%
MAHARASHTRA,400093,15%,61%,6%,18%,16%,57%,7%,20%,1%,-4%,1%,2%
KARNATAKA,560071,36%,50%,2%,12%,37%,48%,2%,13%,1%,-2%,0%,1%
KERALA,689533,2%,38%,58%,3%,3%,51%,41%,4%,1%,14%,-16%,1%
UTTARAKHAND,248143,25%,40%,13%,22%,27%,29%,44%,1%,1%,-11%,31%,-21%
GUJARAT,396126,7%,13%,29%,51%,8%,20%,16%,56%,1%,7%,-13%,5%
MAHARASHTRA,431401,3%,86%,10%,1%,5%,82%,11%,2%,1%,-4%,1%,1%
MAHARASHTRA,400710,19%,58%,8%,14%,21%,49%,5%,25%,1%,-9%,-3%,11%
TAMIL NADU,613402,20%,50%,4%,26%,21%,59%,4%,16%,1%,9%,0%,-10%
TAMIL NADU,626123,19%,66%,2%,13%,21%,64%,1%,14%,1%,-3%,0%,1%
GUJARAT,382340,22%,19%,29%,30%,23%,23%,21%,33%,1%,4%,-8%,3%
KARNATAKA,560051,15%,64%,2%,18%,17%,61%,3%,19%,1%,-3%,1%,0%
UTTAR PRADESH,250617,12%,67%,18%,3%,13%,73%,10%,4%,1%,6%,-9%,1%
MAHARASHTRA,445203,1%,86%,11%,1%,3%,85%,11%,2%,1%,-1%,0%,0%
UTTAR PRADESH,221409,7%,75%,11%,7%,8%,86%,4%,2%,1%,11%,-7%,-5%
KERALA,678701,6%,36%,50%,8%,7%,59%,30%,4%,1%,23%,-20%,-4%
