state,city,udid_loyal,udid_churned,total,perc_churn,index
HIMACHAL PRADESH,CHIRGAON,12,2,14,14.3%,1.785714286
MAHARASHTRA,LAKHANI,12,2,14,14.3%,1.785714286
TELANGANA,BHOOTHPUR,12,2,14,14.3%,1.785714286
TELANGANA,ICHODA,12,2,14,14.3%,1.785714286
TELANGANA,KESHAMPET,12,2,14,14.3%,1.785714286
TELANGANA,KONDURG,12,2,14,14.3%,1.785714286
TELANGANA,PEGADAPALLE,12,2,14,14.3%,1.785714286
ANDHRA PRADESH,BANGARAPET,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,BHAMINI,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,IPUR,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,NIMMANAPALLE,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,SARUBUJJILI,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,VARIKUNTAPADU,6,1,7,14.3%,1.785714286
ANDHRA PRADESH,VELIGANDLA,6,1,7,14.3%,1.785714286
ARUNACHAL PRADESH,RUKSIN,6,1,7,14.3%,1.785714286
ASSAM,KADAM,6,1,7,14.3%,1.785714286
BIHAR,BAUSI,6,1,7,14.3%,1.785714286
BIHAR,DHANARUA,6,1,7,14.3%,1.785714286
BIHAR,GIRIAK,6,1,7,14.3%,1.785714286
BIHAR,GURARU,6,1,7,14.3%,1.785714286
BIHAR,IMAMGANJ,6,1,7,14.3%,1.785714286
BIHAR,KATRA,6,1,7,14.3%,1.785714286
BIHAR,MANIHARI,6,1,7,14.3%,1.785714286
CHHATTISGARH,PALARI,6,1,7,14.3%,1.785714286
HARYANA,SARASWATI VIHAR,6,1,7,14.3%,1.785714286
JAMMU AND KASHMIR,SANKU,6,1,7,14.3%,1.785714286
JHARKHAND,DULMI,6,1,7,14.3%,1.785714286
JHARKHAND,ITKHORI,6,1,7,14.3%,1.785714286
JHARKHAND,MAHESHPUR,6,1,7,14.3%,1.785714286
JHARKHAND,PETERWAR,6,1,7,14.3%,1.785714286
KERALA,MANGALORE,6,1,7,14.3%,1.785714286
MADHYA PRADESH,DHAULPUR,6,1,7,14.3%,1.785714286
MADHYA PRADESH,RAMNAGAR,6,1,7,14.3%,1.785714286
MAHARASHTRA,BHIWAPUR,6,1,7,14.3%,1.785714286
MAHARASHTRA,POLADPUR,6,1,7,14.3%,1.785714286
MAHARASHTRA,SALEKASA,6,1,7,14.3%,1.785714286
MEGHALAYA,GAMBEGRE,6,1,7,14.3%,1.785714286
NAGALAND,CHUMUKEDIMA,6,1,7,14.3%,1.785714286
ODISHA,ASIKA,6,1,7,14.3%,1.785714286
ODISHA,NUAGAON (P),6,1,7,14.3%,1.785714286
ODISHA,RAJKANIKA,6,1,7,14.3%,1.785714286
RAJASTHAN,ATRU,6,1,7,14.3%,1.785714286
RAJASTHAN,BAYTOO,6,1,7,14.3%,1.785714286
RAJASTHAN,KHAJUWALA,6,1,7,14.3%,1.785714286
RAJASTHAN,KIRAOLI,6,1,7,14.3%,1.785714286
RAJASTHAN,NADBAI,6,1,7,14.3%,1.785714286
RAJASTHAN,TODARAISINGH,6,1,7,14.3%,1.785714286
TELANGANA,JAINAD,6,1,7,14.3%,1.785714286
TELANGANA,MARRIGUDA,6,1,7,14.3%,1.785714286
TELANGANA,MUNAGALA,6,1,7,14.3%,1.785714286
TELANGANA,VENKATAPUR,6,1,7,14.3%,1.785714286
TRIPURA,MATARBARI,6,1,7,14.3%,1.785714286
UTTARAKHAND,DUNDA,6,1,7,14.3%,1.785714286
UTTARAKHAND,RUDRAPRAYAG,6,1,7,14.3%,1.785714286
GUJARAT,RAJPIPLA,61,10,71,14.1%,1.76056338
ANDHRA PRADESH,RAJAM,74,12,86,14.0%,1.744186047
TAMIL NADU,PERAVURANI,37,6,43,14.0%,1.744186047
WEST BENGAL,KALIACHAK-I,93,15,108,13.9%,1.736111111
ANDHRA PRADESH,PAMARRU,31,5,36,13.9%,1.736111111
MAHARASHTRA,NAIGAON (KHAIRGAON),31,5,36,13.9%,1.736111111
KARNATAKA,SEDAM,106,17,123,13.8%,1.727642276
BIHAR,DAUDNAGAR,25,4,29,13.8%,1.724137931
JHARKHAND,BERMO,25,4,29,13.8%,1.724137931
MAHARASHTRA,DHAMANGAON RAILWAY,25,4,29,13.8%,1.724137931
WEST BENGAL,SITAI,25,4,29,13.8%,1.724137931
MADHYA PRADESH,BARWANI,69,11,80,13.8%,1.71875
UTTARAKHAND,NAINITAL,44,7,51,13.7%,1.715686275
GUJARAT,KARJAN,57,9,66,13.6%,1.704545455
ANDHRA PRADESH,RAVULAPALEM,38,6,44,13.6%,1.704545455
ANDHRA PRADESH,GOLUGONDA,19,3,22,13.6%,1.704545455
BIHAR,PUPRI,19,3,22,13.6%,1.704545455
HIMACHAL PRADESH,BANGANA,19,3,22,13.6%,1.704545455
JAMMU AND KASHMIR,RAFIABAD,19,3,22,13.6%,1.704545455
JHARKHAND,GHATSHILA,19,3,22,13.6%,1.704545455
MADHYA PRADESH,ARON,19,3,22,13.6%,1.704545455
UTTARAKHAND,BAGESHWAR,19,3,22,13.6%,1.704545455
WEST BENGAL,RANINAGAR-II,51,8,59,13.6%,1.694915254
ANDHRA PRADESH,TADIKONDA,32,5,37,13.5%,1.689189189
CHHATTISGARH,KASDOL,32,5,37,13.5%,1.689189189
MADHYA PRADESH,JIRAPUR,32,5,37,13.5%,1.689189189
ANDHRA PRADESH,MARTUR,45,7,52,13.5%,1.682692308
MAHARASHTRA,CHIKHLI,71,11,82,13.4%,1.676829268
ANDHRA PRADESH,JANGAREDDIGUDEM,65,10,75,13.3%,1.666666667
ANDHRA PRADESH,S.MYDUKUR,52,8,60,13.3%,1.666666667
ANDHRA PRADESH,CHILLAKUR,39,6,45,13.3%,1.666666667
GUJARAT,PRANTIJ,26,4,30,13.3%,1.666666667
TELANGANA,ACHAMPET,26,4,30,13.3%,1.666666667
WEST BENGAL,DASPUR-II,26,4,30,13.3%,1.666666667
WEST BENGAL,KESHIARY,26,4,30,13.3%,1.666666667
ANDHRA PRADESH,KIRLAMPUDI,13,2,15,13.3%,1.666666667
ANDHRA PRADESH,NALLACHERUVU,13,2,15,13.3%,1.666666667
ANDHRA PRADESH,PEDAPADU,13,2,15,13.3%,1.666666667
ANDHRA PRADESH,SOMALA,13,2,15,13.3%,1.666666667
BIHAR,ARWAL,13,2,15,13.3%,1.666666667
BIHAR,BIHPUR,13,2,15,13.3%,1.666666667
BIHAR,GORAUL,13,2,15,13.3%,1.666666667
BIHAR,NARPATGANJ,13,2,15,13.3%,1.666666667
BIHAR,RAGHOPUR,13,2,15,13.3%,1.666666667
CHHATTISGARH,DONDILUHARA,13,2,15,13.3%,1.666666667
GUJARAT,MALPUR,13,2,15,13.3%,1.666666667
HIMACHAL PRADESH,KOTKHAI,13,2,15,13.3%,1.666666667
MADHYA PRADESH,SUWASARA,13,2,15,13.3%,1.666666667
MAHARASHTRA,RALEGAON,13,2,15,13.3%,1.666666667
TELANGANA,MOGULLAPALLE,13,2,15,13.3%,1.666666667
TELANGANA,RAMADUGU,13,2,15,13.3%,1.666666667
TELANGANA,VEENAVANKA,13,2,15,13.3%,1.666666667
TELANGANA,WARGAL,13,2,15,13.3%,1.666666667
UTTARAKHAND,THALISAIN,13,2,15,13.3%,1.666666667
WEST BENGAL,BALRAMPUR,13,2,15,13.3%,1.666666667
GUJARAT,MAHUVA,189,29,218,13.3%,1.662844037
GUJARAT,RAJULA,118,18,136,13.2%,1.654411765
GUJARAT,SIHOR,59,9,68,13.2%,1.654411765
ANDHRA PRADESH,GUDUPALLE,33,5,38,13.2%,1.644736842
BIHAR,BHABUA,33,5,38,13.2%,1.644736842
MAHARASHTRA,GADHINGLAJ,33,5,38,13.2%,1.644736842
GUJARAT,GODHRA,166,25,191,13.1%,1.636125654
RAJASTHAN,OSIAN,40,6,46,13.0%,1.630434783
BIHAR,PALIGANJ,20,3,23,13.0%,1.630434783
HARYANA,INDRI,20,3,23,13.0%,1.630434783
MAHARASHTRA,DARWHA,20,3,23,13.0%,1.630434783
MAHARASHTRA,NAWAPUR,20,3,23,13.0%,1.630434783
RAJASTHAN,CHHABRA,20,3,23,13.0%,1.630434783
TAMIL NADU,TIRUCHULI,20,3,23,13.0%,1.630434783
UTTARAKHAND,KALADHUNGI,20,3,23,13.0%,1.630434783
UTTAR PRADESH,NAUTANWA,20,3,23,13.0%,1.630434783
CHHATTISGARH,BALODA BAZAR,67,10,77,13.0%,1.623376623
WEST BENGAL,TUFANGANJ-I,74,11,85,12.9%,1.617647059
BIHAR,PACHRUKHI,54,8,62,12.9%,1.612903226
MADHYA PRADESH,GAROTH,27,4,31,12.9%,1.612903226
MAHARASHTRA,KHANDALA,95,14,109,12.8%,1.605504587
ANDHRA PRADESH,NALLAJERLA,34,5,39,12.8%,1.602564103
TELANGANA,CHITYALA,34,5,39,12.8%,1.602564103
GUJARAT,ABDASA,41,6,47,12.8%,1.595744681
MAHARASHTRA,DEOLGAON RAJA,41,6,47,12.8%,1.595744681
GUJARAT,MUNDRA,213,31,244,12.7%,1.588114754
MAHARASHTRA,WASHIM,76,11,87,12.6%,1.58045977
DELHI,SADAR BAZAR,90,13,103,12.6%,1.577669903
GUJARAT,BARDOLI,112,16,128,12.5%,1.5625
GUJARAT,DANTA,56,8,64,12.5%,1.5625
UTTARAKHAND,SRINAGAR,56,8,64,12.5%,1.5625
GUJARAT,DHANDHUKA,42,6,48,12.5%,1.5625
TAMIL NADU,VILATHIKULAM,42,6,48,12.5%,1.5625
BIHAR,JAMUI,35,5,40,12.5%,1.5625
GUJARAT,TALOD,28,4,32,12.5%,1.5625
MAHARASHTRA,PURNA,28,4,32,12.5%,1.5625
SIKKIM,NAMCHI,28,4,32,12.5%,1.5625
TELANGANA,RAMAYAMPET,28,4,32,12.5%,1.5625
WEST BENGAL,KALNA-II,28,4,32,12.5%,1.5625
ASSAM,RAHA,21,3,24,12.5%,1.5625
BIHAR,EKMA,21,3,24,12.5%,1.5625
BIHAR,KOILWAR,21,3,24,12.5%,1.5625
HARYANA,SAFIDON,21,3,24,12.5%,1.5625
MADHYA PRADESH,BEOHARI,21,3,24,12.5%,1.5625
TELANGANA,KOLLAPUR,21,3,24,12.5%,1.5625
ANDHRA PRADESH,CHOWDEPALLE,14,2,16,12.5%,1.5625
ANDHRA PRADESH,PENAGALUR,14,2,16,12.5%,1.5625
ANDHRA PRADESH,RANGAMPETA,14,2,16,12.5%,1.5625
BIHAR,LAURIYA,14,2,16,12.5%,1.5625
GUJARAT,LAKHTAR,14,2,16,12.5%,1.5625
HARYANA,DERA BASSI,14,2,16,12.5%,1.5625
JAMMU AND KASHMIR,BUDHAL,14,2,16,12.5%,1.5625
JHARKHAND,SANIYA,14,2,16,12.5%,1.5625
ODISHA,PARADIP,14,2,16,12.5%,1.5625
TELANGANA,ASWAPURAM,14,2,16,12.5%,1.5625
TELANGANA,PITLAM,14,2,16,12.5%,1.5625
ANDHRA PRADESH,CHALLAPALLE,7,1,8,12.5%,1.5625
ANDHRA PRADESH,CHAPAD,7,1,8,12.5%,1.5625
ANDHRA PRADESH,SETTUR,7,1,8,12.5%,1.5625
ANDHRA PRADESH,VATTICHERUKURU,7,1,8,12.5%,1.5625
ARUNACHAL PRADESH,TAWANG,7,1,8,12.5%,1.5625
ASSAM,BAGANPARA (PT),7,1,8,12.5%,1.5625
ASSAM,DHAKUAKHANA (PART-I),7,1,8,12.5%,1.5625
ASSAM,NILAMBAZAR,7,1,8,12.5%,1.5625
BIHAR,GARHANI,7,1,8,12.5%,1.5625
BIHAR,NAUHATTA,7,1,8,12.5%,1.5625
BIHAR,PAHARPUR,7,1,8,12.5%,1.5625
BIHAR,RAMGARH CHOWK,7,1,8,12.5%,1.5625
BIHAR,SAKRA,7,1,8,12.5%,1.5625
BIHAR,SANDESH,7,1,8,12.5%,1.5625
BIHAR,SONBARSA,7,1,8,12.5%,1.5625
BIHAR,VIDYAPATI NAGAR,7,1,8,12.5%,1.5625
CHHATTISGARH,BHARATPUR,7,1,8,12.5%,1.5625
JAMMU AND KASHMIR,SONAWARI,7,1,8,12.5%,1.5625
JHARKHAND,RAJMAHAL,7,1,8,12.5%,1.5625
MAHARASHTRA,SAMUDRAPUR,7,1,8,12.5%,1.5625
RAJASTHAN,KISHANGANJ,7,1,8,12.5%,1.5625
RAJASTHAN,SANGARIA,7,1,8,12.5%,1.5625
RAJASTHAN,SAPOTRA,7,1,8,12.5%,1.5625
TAMIL NADU,THIRUKKUVALAI,7,1,8,12.5%,1.5625
TELANGANA,BHEEMADEVARPALLE,7,1,8,12.5%,1.5625
TELANGANA,GARLA,7,1,8,12.5%,1.5625
TELANGANA,JHARASANGAM,7,1,8,12.5%,1.5625
TELANGANA,NADIGUDEM,7,1,8,12.5%,1.5625
TELANGANA,ODELA,7,1,8,12.5%,1.5625
TELANGANA,SHABAD,7,1,8,12.5%,1.5625
TELANGANA,VANGOOR,7,1,8,12.5%,1.5625
UTTARAKHAND,BERINAG,7,1,8,12.5%,1.5625
MAHARASHTRA,NAGPUR (RURAL),106,15,121,12.4%,1.549586777
BIHAR,MANPUR,71,10,81,12.3%,1.543209877
MADHYA PRADESH,ALIRAJPUR,50,7,57,12.3%,1.535087719
BIHAR,BAIRIA,43,6,49,12.2%,1.530612245
MAHARASHTRA,SHRIGONDA,72,10,82,12.2%,1.524390244
WEST BENGAL,BHAGAWANPUR-I,72,10,82,12.2%,1.524390244
PUNJAB,KHANNA,36,5,41,12.2%,1.524390244
TELANGANA,HUZURNAGAR,36,5,41,12.2%,1.524390244
GUJARAT,ANJAR,123,17,140,12.1%,1.517857143
BIHAR,BETTIAH,29,4,33,12.1%,1.515151515
GUJARAT,SUTRAPADA,29,4,33,12.1%,1.515151515
UTTARAKHAND,POORNAGIRI (TANAKPUR),29,4,33,12.1%,1.515151515
MADHYA PRADESH,NOWGONG,73,10,83,12.0%,1.506024096
GUJARAT,BHARUCH,512,70,582,12.0%,1.503436426
MADHYA PRADESH,PIPARIYA,66,9,75,12.0%,1.5
HARYANA,NARWANA,44,6,50,12.0%,1.5
ANDHRA PRADESH,GALIVEEDU,22,3,25,12.0%,1.5
ANDHRA PRADESH,GOLLAPROLU,22,3,25,12.0%,1.5
ANDHRA PRADESH,INDUKURPET,22,3,25,12.0%,1.5
BIHAR,LALGANJ,22,3,25,12.0%,1.5
JAMMU AND KASHMIR,GOOL GULABGARH,22,3,25,12.0%,1.5
JHARKHAND,GODDA,22,3,25,12.0%,1.5
MAHARASHTRA,SANGAMESHWAR,22,3,25,12.0%,1.5
MAHARASHTRA,TIRORA,22,3,25,12.0%,1.5
TAMIL NADU,GUDALUR,22,3,25,12.0%,1.5
TELANGANA,ANDOLE,22,3,25,12.0%,1.5
TELANGANA,TIMMAPUR (LMDCOLONY),22,3,25,12.0%,1.5
UTTARAKHAND,LALKUAN,22,3,25,12.0%,1.5
UTTARAKHAND,NAJIBABAD,22,3,25,12.0%,1.5
WEST BENGAL,RAMPURHAT-II,22,3,25,12.0%,1.5
GUJARAT,DHARI,37,5,42,11.9%,1.488095238
MADHYA PRADESH,DINDORI,37,5,42,11.9%,1.488095238
MAHARASHTRA,JAT,52,7,59,11.9%,1.483050847
ANDHRA PRADESH,MANDAPETA,67,9,76,11.8%,1.480263158
MAHARASHTRA,KANNAD,67,9,76,11.8%,1.480263158
UTTARAKHAND,KHATIMA,97,13,110,11.8%,1.477272727
GUJARAT,WADHWAN,172,23,195,11.8%,1.474358974
GUJARAT,TANKARA,45,6,51,11.8%,1.470588235
MADHYA PRADESH,KAILARAS,45,6,51,11.8%,1.470588235
ANDHRA PRADESH,MAMIDIKUDURU,30,4,34,11.8%,1.470588235
ANDHRA PRADESH,YERRAGONDAPALEM,30,4,34,11.8%,1.470588235
BIHAR,SURAJGARHA,30,4,34,11.8%,1.470588235
ANDHRA PRADESH,GANGUVARISIGADAM,15,2,17,11.8%,1.470588235
ANDHRA PRADESH,MAKKUVA,15,2,17,11.8%,1.470588235
ANDHRA PRADESH,PEDAGANTYADA,15,2,17,11.8%,1.470588235
ANDHRA PRADESH,UPPALAGUPTAM,15,2,17,11.8%,1.470588235
BIHAR,HISUA,15,2,17,11.8%,1.470588235
GUJARAT,VIRPUR,15,2,17,11.8%,1.470588235
JHARKHAND,BISHUNGARH,15,2,17,11.8%,1.470588235
MADHYA PRADESH,BADOD,15,2,17,11.8%,1.470588235
MADHYA PRADESH,SHYAMPUR,15,2,17,11.8%,1.470588235
MAHARASHTRA,BADNAPUR,15,2,17,11.8%,1.470588235
MAHARASHTRA,HIMAYATNAGAR,15,2,17,11.8%,1.470588235
ODISHA,BURLA,15,2,17,11.8%,1.470588235
PUDUCHERRY,VANUR,15,2,17,11.8%,1.470588235
TELANGANA,DOULTABAD,15,2,17,11.8%,1.470588235
TELANGANA,LUXETTIPET,15,2,17,11.8%,1.470588235
WEST BENGAL,RANIBUNDH,15,2,17,11.8%,1.470588235
UTTARAKHAND,PITHORAGARH,83,11,94,11.7%,1.462765957
BIHAR,BIHAR SHARIFF,234,31,265,11.7%,1.462264151
KARNATAKA,NARGUND,38,5,43,11.6%,1.453488372
MAHARASHTRA,KARMALA,61,8,69,11.6%,1.449275362
ANDHRA PRADESH,PATHAPATNAM,23,3,26,11.5%,1.442307692
ANDHRA PRADESH,PORUMAMILLA,23,3,26,11.5%,1.442307692
BIHAR,BHOREY,23,3,26,11.5%,1.442307692
GUJARAT,KHEDBRAHMA,23,3,26,11.5%,1.442307692
GUJARAT,RANPUR,23,3,26,11.5%,1.442307692
GUJARAT,VALIA,23,3,26,11.5%,1.442307692
TELANGANA,CHINNAKODUR,23,3,26,11.5%,1.442307692
TELANGANA,NAVIPET,23,3,26,11.5%,1.442307692
GUJARAT,CHIKHLI,100,13,113,11.5%,1.438053097
KARNATAKA,SHIGGAON,108,14,122,11.5%,1.43442623
GUJARAT,KESHOD,62,8,70,11.4%,1.428571429
ANDHRA PRADESH,AGIRIPALLE,31,4,35,11.4%,1.428571429
ANDHRA PRADESH,GANGADHARA NELLORE,31,4,35,11.4%,1.428571429
ANDHRA PRADESH,THOTLAVALLURU,31,4,35,11.4%,1.428571429
BIHAR,RAMNAGAR,31,4,35,11.4%,1.428571429
CHHATTISGARH,LORMI,31,4,35,11.4%,1.428571429
HARYANA,RATIA,31,4,35,11.4%,1.428571429
MADHYA PRADESH,SATWAS,31,4,35,11.4%,1.428571429
MAHARASHTRA,DEGLUR,31,4,35,11.4%,1.428571429
RAJASTHAN,DESURI,31,4,35,11.4%,1.428571429
TELANGANA,IEEJ,31,4,35,11.4%,1.428571429
MAHARASHTRA,MANGAON,39,5,44,11.4%,1.420454545
UTTAR PRADESH,BILASPUR,86,11,97,11.3%,1.417525773
ANDHRA PRADESH,SRIKALAHASTI,71,9,80,11.3%,1.40625
GUJARAT,PALANPUR,279,35,314,11.1%,1.393312102
MAHARASHTRA,MAWAL,319,40,359,11.1%,1.39275766
GUJARAT,DHANERA,88,11,99,11.1%,1.388888889
GUJARAT,DEODAR,72,9,81,11.1%,1.388888889
GUJARAT,KHAMBHAT,72,9,81,11.1%,1.388888889
HARYANA,MATANHAIL,64,8,72,11.1%,1.388888889
TAMIL NADU,THIRUVAIYARU,48,6,54,11.1%,1.388888889
WEST BENGAL,CHANCHAL-II,48,6,54,11.1%,1.388888889
MAHARASHTRA,TUMSAR,40,5,45,11.1%,1.388888889
WEST BENGAL,RAIPUR,40,5,45,11.1%,1.388888889
ANDHRA PRADESH,GAJAPATHINAGARAM,32,4,36,11.1%,1.388888889
ANDHRA PRADESH,GARIVIDI,32,4,36,11.1%,1.388888889
MAHARASHTRA,KAGAL,32,4,36,11.1%,1.388888889
TELANGANA,CHEGUNTA,32,4,36,11.1%,1.388888889
TELANGANA,NARSAPUR,32,4,36,11.1%,1.388888889
ANDHRA PRADESH,KOTHA PATNAM,24,3,27,11.1%,1.388888889
HIMACHAL PRADESH,BHORANJ,24,3,27,11.1%,1.388888889
ANDHRA PRADESH,MANUBOLU,16,2,18,11.1%,1.388888889
ANDHRA PRADESH,MERAKAMUDIDAM,16,2,18,11.1%,1.388888889
ANDHRA PRADESH,RAJAHMUNDRY RURAL,16,2,18,11.1%,1.388888889
ANDHRA PRADESH,RAJUPALEM,16,2,18,11.1%,1.388888889
ANDHRA PRADESH,T.NARASAPURAM,16,2,18,11.1%,1.388888889
ASSAM,PACHIM NALBARI,16,2,18,11.1%,1.388888889
BIHAR,PATORI,16,2,18,11.1%,1.388888889
BIHAR,PIRO,16,2,18,11.1%,1.388888889
BIHAR,RAGHUNATHPUR,16,2,18,11.1%,1.388888889
BIHAR,SAHEBGANJ,16,2,18,11.1%,1.388888889
BIHAR,TEGHRA,16,2,18,11.1%,1.388888889
GUJARAT,MALIYA,16,2,18,11.1%,1.388888889
GUJARAT,SANTALPUR,16,2,18,11.1%,1.388888889
MADHYA PRADESH,BIJAWAR,16,2,18,11.1%,1.388888889
MADHYA PRADESH,GHANSAUR,16,2,18,11.1%,1.388888889
MAHARASHTRA,DEOLA,16,2,18,11.1%,1.388888889
MAHARASHTRA,MAHABALESHWAR,16,2,18,11.1%,1.388888889
MAHARASHTRA,MANORA,16,2,18,11.1%,1.388888889
RAJASTHAN,TARANAGAR,16,2,18,11.1%,1.388888889
TELANGANA,MUDHOLE,16,2,18,11.1%,1.388888889
TELANGANA,NIDAMANUR,16,2,18,11.1%,1.388888889
ANDHRA PRADESH,BURJA,8,1,9,11.1%,1.388888889
ANDHRA PRADESH,DAKKILI,8,1,9,11.1%,1.388888889
ANDHRA PRADESH,JALADANKI,8,1,9,11.1%,1.388888889
ANDHRA PRADESH,UDAYAGIRI,8,1,9,11.1%,1.388888889
ANDHRA PRADESH,YADAMARRI,8,1,9,11.1%,1.388888889
ARUNACHAL PRADESH,AALO,8,1,9,11.1%,1.388888889
ASSAM,MANKACHAR,8,1,9,11.1%,1.388888889
ASSAM,SADIYA,8,1,9,11.1%,1.388888889
BIHAR,BACHHWARA,8,1,9,11.1%,1.388888889
BIHAR,BANMANKHI,8,1,9,11.1%,1.388888889
BIHAR,CHENARI,8,1,9,11.1%,1.388888889
BIHAR,HANUMANNAGAR,8,1,9,11.1%,1.388888889
BIHAR,MORWA,8,1,9,11.1%,1.388888889
BIHAR,MURLIGANJ,8,1,9,11.1%,1.388888889
BIHAR,PARIHAR,8,1,9,11.1%,1.388888889
BIHAR,SIKANDRA,8,1,9,11.1%,1.388888889
BIHAR,SIKTA,8,1,9,11.1%,1.388888889
BIHAR,WARISNAGAR,8,1,9,11.1%,1.388888889
GUJARAT,KADANA,8,1,9,11.1%,1.388888889
GUJARAT,KOTDA SANGANI,8,1,9,11.1%,1.388888889
HARYANA,MALOUT,8,1,9,11.1%,1.388888889
HIMACHAL PRADESH,CHAURAH,8,1,9,11.1%,1.388888889
MADHYA PRADESH,KESLI,8,1,9,11.1%,1.388888889
MADHYA PRADESH,MOMAN BADODIYA,8,1,9,11.1%,1.388888889
MADHYA PRADESH,PATERA,8,1,9,11.1%,1.388888889
MAHARASHTRA,MOKHADA,8,1,9,11.1%,1.388888889
ODISHA,NIMAPADA (P),8,1,9,11.1%,1.388888889
ODISHA,PURI PS,8,1,9,11.1%,1.388888889
TAMIL NADU,VILLIANUR,8,1,9,11.1%,1.388888889
TELANGANA,DUGGONDI,8,1,9,11.1%,1.388888889
TELANGANA,KODAIR,8,1,9,11.1%,1.388888889
TELANGANA,MULKALAPALLE,8,1,9,11.1%,1.388888889
TELANGANA,TAMSI,8,1,9,11.1%,1.388888889
UTTAR PRADESH,NAUTAN,8,1,9,11.1%,1.388888889
GUJARAT,GONDAL,145,18,163,11.0%,1.380368098
KARNATAKA,PANDAVAPURA,89,11,100,11.0%,1.375
GUJARAT,MODASA,73,9,82,11.0%,1.37195122
GUJARAT,UNA,73,9,82,11.0%,1.37195122
MADHYA PRADESH,KARELI,65,8,73,11.0%,1.369863014
UTTAR PRADESH,NAKUR,114,14,128,10.9%,1.3671875
ANDHRA PRADESH,BANAGANAPALLE,57,7,64,10.9%,1.3671875
BIHAR,KANTI,57,7,64,10.9%,1.3671875
JAMMU AND KASHMIR,RAJOURI,106,13,119,10.9%,1.365546218
JAMMU AND KASHMIR,KUPWARA,204,25,229,10.9%,1.364628821
GUJARAT,BABRA,49,6,55,10.9%,1.363636364
KARNATAKA,MUNDGOD,49,6,55,10.9%,1.363636364
GUJARAT,IDAR,82,10,92,10.9%,1.358695652
HARYANA,BADHRA,41,5,46,10.9%,1.358695652
JHARKHAND,CHAIBASA,41,5,46,10.9%,1.358695652
MAHARASHTRA,PALUS,41,5,46,10.9%,1.358695652
MAHARASHTRA,SHAHAPUR,107,13,120,10.8%,1.354166667
WEST BENGAL,MATHABHANGA-I,66,8,74,10.8%,1.351351351
ANDHRA PRADESH,KANIGIRI,33,4,37,10.8%,1.351351351
ANDHRA PRADESH,MUNDLAMURU,33,4,37,10.8%,1.351351351
JHARKHAND,CHAKRADHARPUR,33,4,37,10.8%,1.351351351
TAMIL NADU,KUTHALAM,33,4,37,10.8%,1.351351351
GUJARAT,DABHOI,58,7,65,10.8%,1.346153846
HARYANA,JHAJJAR,58,7,65,10.8%,1.346153846
BIHAR,SIWAN,199,24,223,10.8%,1.34529148
HARYANA,DADRI,83,10,93,10.8%,1.344086022
UTTAR PRADESH,KHEKADA,108,13,121,10.7%,1.342975207
UTTAR PRADESH,KHAIR,100,12,112,10.7%,1.339285714
ANDHRA PRADESH,CHIMAKURTHI,75,9,84,10.7%,1.339285714
DELHI,KOTWALI,75,9,84,10.7%,1.339285714
ANDHRA PRADESH,REPALLE,50,6,56,10.7%,1.339285714
GUJARAT,SONGADH,50,6,56,10.7%,1.339285714
TELANGANA,DEVARAKONDA,50,6,56,10.7%,1.339285714
BIHAR,JAINAGAR,25,3,28,10.7%,1.339285714
GUJARAT,MATAR,25,3,28,10.7%,1.339285714
HIMACHAL PRADESH,SHAHPUR,25,3,28,10.7%,1.339285714
WEST BENGAL,MATHABHANGA-II,25,3,28,10.7%,1.339285714
MAHARASHTRA,PUSAD,67,8,75,10.7%,1.333333333
UTTAR PRADESH,KIRAOLI,67,8,75,10.7%,1.333333333
GUJARAT,VAGHODIA,59,7,66,10.6%,1.325757576
HARYANA,HISAR,288,34,322,10.6%,1.319875776
MAHARASHTRA,KARAD,161,19,180,10.6%,1.319444444
GOA,SALCETE,178,21,199,10.6%,1.319095477
GUJARAT,PALSANA,85,10,95,10.5%,1.315789474
BIHAR,UCHKAGAON,68,8,76,10.5%,1.315789474
GUJARAT,MEHMEDABAD,51,6,57,10.5%,1.315789474
MAHARASHTRA,MANJLEGAON,34,4,38,10.5%,1.315789474
MAHARASHTRA,PATAN,34,4,38,10.5%,1.315789474
WEST BENGAL,KHATRA,34,4,38,10.5%,1.315789474
ANDHRA PRADESH,KAPILESWARAPURAM,17,2,19,10.5%,1.315789474
ANDHRA PRADESH,NADENDLA,17,2,19,10.5%,1.315789474
BIHAR,JALE,17,2,19,10.5%,1.315789474
BIHAR,JHANJHARPUR,17,2,19,10.5%,1.315789474
BIHAR,OBRA,17,2,19,10.5%,1.315789474
CHHATTISGARH,BHANUPRATAPPUR,17,2,19,10.5%,1.315789474
GUJARAT,AMOD,17,2,19,10.5%,1.315789474
GUJARAT,VALOD,17,2,19,10.5%,1.315789474
JHARKHAND,SAHIBGANJ,17,2,19,10.5%,1.315789474
MADHYA PRADESH,GULANA,17,2,19,10.5%,1.315789474
MAHARASHTRA,GHATANJI,17,2,19,10.5%,1.315789474
MAHARASHTRA,PAUNI,17,2,19,10.5%,1.315789474
MAHARASHTRA,RENAPUR,17,2,19,10.5%,1.315789474
